distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action
148,17,35,6.32,False
144,17,35,6.32,False
139,17,35,6.32,False
135,17,35,6.32,False
130,17,35,6.32,False
126,17,35,6.32,False
122,17,35,6.33,False
117,17,35,6.33,False
113,17,35,6.33,False
108,17,35,6.33,False
103,17,35,6.33,False
98,17,35,6.33,False
94,17,35,6.33,False
94,17,35,6.33,True
427,25,50,6.37,False
422,25,50,6.37,False
417,25,50,6.37,False
413,25,50,6.38,False
408,25,50,6.38,False
403,25,50,6.38,False
398,25,50,6.38,False
394,25,50,6.38,False
389,25,50,6.38,False
385,25,50,6.38,False
381,25,50,6.38,False
377,25,50,6.38,False
372,25,50,6.38,False
367,25,50,6.39,False
362,25,50,6.39,False
357,25,50,6.39,False
353,25,50,6.39,False
348,25,50,6.39,False
343,25,50,6.39,False
338,25,50,6.39,False
333,25,50,6.39,False
329,25,50,6.39,False
324,25,50,6.39,False
319,25,50,6.4,False
314,25,50,6.4,False
309,25,50,6.4,False
305,25,50,6.4,False
299,25,50,6.4,False
295,25,50,6.4,False
291,25,50,6.4,False
286,25,50,6.4,False
282,25,50,6.4,False
277,25,50,6.4,False
272,25,50,6.41,False
268,25,50,6.41,False
263,25,50,6.41,False
259,25,50,6.41,False
254,25,50,6.41,False
249,25,50,6.41,False
245,25,50,6.41,False
239,25,50,6.41,False
235,25,50,6.41,False
230,25,50,6.41,False
225,25,50,6.42,False
221,25,50,6.42,False
216,25,50,6.42,False
211,25,50,6.42,False
207,25,50,6.42,False
202,25,50,6.42,False
198,25,50,6.42,False
192,25,50,6.42,False
188,25,50,6.42,False
184,25,50,6.42,False
178,25,50,6.43,False
174,25,50,6.43,False
169,25,50,6.43,False
164,25,50,6.43,False
159,25,50,6.43,False
155,25,50,6.43,False
151,25,50,6.43,False
145,25,50,6.43,False
141,25,50,6.43,False
136,25,50,6.43,False
131,25,50,6.44,False
127,25,50,6.44,False
122,25,50,6.44,False
118,25,50,6.44,False
113,25,50,6.44,False
109,25,50,6.44,False
104,25,50,6.44,False
100,25,50,6.44,False
95,25,50,6.44,False
90,25,50,6.44,False
86,25,50,6.45,False
81,25,50,6.45,False
77,25,50,6.45,False
72,25,50,6.45,False
72,25,50,6.45,True
511,17,35,6.49,False
507,17,35,6.49,False
503,17,35,6.49,False
497,17,35,6.49,False
493,17,35,6.5,False
488,17,35,6.5,False
483,17,35,6.5,False
479,17,35,6.5,False
474,17,35,6.5,False
470,17,35,6.5,False
464,17,35,6.5,False
460,17,35,6.5,False
456,17,35,6.5,False
451,17,35,6.5,False
446,17,35,6.51,False
440,17,35,6.51,False
436,17,35,6.51,False
431,17,35,6.51,False
427,17,35,6.51,False
421,17,35,6.51,False
417,17,35,6.51,False
412,17,35,6.51,False
407,17,35,6.51,False
403,17,35,6.51,False
398,17,35,6.52,False
393,17,35,6.52,False
389,17,35,6.52,False
385,17,35,6.52,False
380,17,35,6.52,False
375,17,35,6.52,False
371,17,35,6.52,False
365,17,35,6.52,False
361,17,35,6.52,False
355,17,35,6.52,False
351,17,35,6.53,False
345,17,35,6.53,False
341,17,35,6.53,False
336,17,35,6.53,False
331,17,35,6.53,False
325,17,35,6.53,False
321,17,35,6.53,False
316,17,35,6.53,False
311,17,35,6.53,False
306,17,35,6.53,False
301,17,35,6.54,False
296,17,35,6.54,False
291,17,35,6.54,False
286,17,35,6.54,False
281,17,35,6.54,False
276,17,35,6.54,False
272,17,35,6.54,False
266,17,35,6.54,False
261,17,35,6.54,False
257,17,35,6.54,False
251,17,35,6.55,False
247,17,35,6.55,False
243,17,35,6.55,False
238,17,35,6.55,False
232,17,35,6.55,False
228,17,35,6.55,False
222,17,35,6.55,False
218,17,35,6.55,False
213,17,35,6.55,False
208,17,35,6.55,False
204,17,35,6.56,False
199,17,35,6.56,False
193,17,35,6.56,False
189,17,35,6.56,False
183,17,35,6.56,False
179,17,35,6.56,False
174,17,35,6.56,False
170,17,35,6.56,False
164,17,35,6.56,False
160,17,35,6.56,False
155,17,35,6.57,False
150,17,35,6.57,False
146,17,35,6.57,False
146,17,35,6.57,True
302,17,35,6.61,False
298,17,35,6.61,False
293,17,35,6.61,False
287,17,35,6.61,False
282,17,35,6.61,False
277,17,35,6.62,False
