distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action,prediction
95,17,35,6.634000000000212,,Do_Nothing
89,17,35,6.635000000000212,,Do_Nothing
83,17,35,6.636000000000212,,Do_Nothing
77,17,35,6.637000000000213,,Do_Nothing
71,17,35,6.638000000000213,,Do_Nothing
66,17,35,6.639000000000213,,Do_Nothing
59,17,35,6.640000000000214,,Do_Nothing
53,17,35,6.641000000000214,,Do_Nothing
48,17,35,6.642000000000214,,Do_Nothing
41,17,35,6.643000000000215,,Do_Nothing
35,17,35,6.644000000000215,,Do_Nothing
28,17,35,6.645000000000215,,Do_Nothing
22,17,35,6.646000000000216,,Do_Nothing
15,17,35,6.647000000000216,,Do_Nothing
9,17,35,6.648000000000216,,Do_Nothing
3,17,35,6.649000000000217,,Do_Nothing
-4,17,35,6.650000000000217,,Jump
-9,17,35,6.651000000000217,,Jump
-15,17,35,6.652000000000218,,Jump
-22,17,35,6.653000000000218,,Jump
-27,17,35,6.654000000000218,,Jump
-34,17,35,6.655000000000219,,Jump
212,17,35,6.656000000000219,,Do_Nothing
206,17,35,6.657000000000219,,Do_Nothing
200,17,35,6.65800000000022,,Do_Nothing
193,17,35,6.65900000000022,,Do_Nothing
187,17,35,6.66000000000022,,Do_Nothing
181,17,35,6.661000000000221,,Do_Nothing
175,17,35,6.662000000000221,,Do_Nothing
169,17,35,6.663000000000221,,Do_Nothing
162,17,35,6.664000000000222,,Do_Nothing
156,17,35,6.665000000000222,,Do_Nothing
151,17,35,6.666000000000222,,Do_Nothing
144,17,35,6.667000000000223,,Do_Nothing
139,17,35,6.668000000000223,,Do_Nothing
132,17,35,6.669000000000223,,Do_Nothing
126,17,35,6.670000000000224,,Do_Nothing
119,17,35,6.671000000000224,,Do_Nothing
114,17,35,6.672000000000224,,Do_Nothing
107,17,35,6.673000000000225,,Do_Nothing
102,17,35,6.674000000000225,,Do_Nothing
96,17,35,6.675000000000225,,Do_Nothing
89,17,35,6.676000000000226,,Do_Nothing
83,17,35,6.677000000000226,,Do_Nothing
76,17,35,6.678000000000226,,Do_Nothing
70,17,35,6.679000000000227,,Do_Nothing
64,17,35,6.680000000000227,,Do_Nothing
58,17,35,6.681000000000227,,Do_Nothing
51,17,35,6.682000000000228,,Do_Nothing
46,17,35,6.683000000000228,,Do_Nothing
40,17,35,6.684000000000228,,Do_Nothing
33,17,35,6.685000000000229,,Do_Nothing
28,17,35,6.686000000000229,,Do_Nothing
20,17,35,6.687000000000229,,Do_Nothing
15,17,35,6.68800000000023,,Do_Nothing
8,17,35,6.68900000000023,,Do_Nothing
3,17,35,6.69000000000023,,Do_Nothing
-4,17,35,6.691000000000231,,Jump
-10,17,35,6.692000000000231,,Jump
-17,17,35,6.693000000000231,,Jump
-23,17,35,6.694000000000232,,Jump
-29,17,35,6.695000000000232,,Jump
-35,17,35,6.696000000000232,,Jump
562,17,35,6.698000000000233,,Do_Nothing
557,17,35,6.699000000000233,,Do_Nothing
551,17,35,6.700000000000234,,Do_Nothing
545,17,35,6.701000000000234,,Do_Nothing
537,17,35,6.702000000000234,,Do_Nothing
532,17,35,6.703000000000235,,Do_Nothing
525,17,35,6.704000000000235,,Do_Nothing
520,17,35,6.705000000000235,,Do_Nothing
513,17,35,6.706000000000236,,Do_Nothing
508,17,35,6.707000000000236,,Do_Nothing
501,17,35,6.708000000000236,,Do_Nothing
494,17,35,6.709000000000237,,Do_Nothing
488,17,35,6.710000000000237,,Do_Nothing
483,17,35,6.711000000000237,,Do_Nothing
477,17,35,6.712000000000238,,Do_Nothing
470,17,35,6.713000000000238,,Do_Nothing
464,17,35,6.714000000000238,,Do_Nothing
457,17,35,6.715000000000239,,Do_Nothing
452,17,35,6.716000000000239,,Do_Nothing
446,17,35,6.71700000000024,,Do_Nothing
439,17,35,6.71800000000024,,Do_Nothing
434,17,35,6.71900000000024,,Do_Nothing
428,17,35,6.72000000000024,,Do_Nothing
421,17,35,6.721000000000241,,Do_Nothing
415,17,35,6.722000000000241,,Do_Nothing
409,17,35,6.7230000000002414,,Do_Nothing
402,17,35,6.724000000000242,,Do_Nothing
396,17,35,6.725000000000242,,Do_Nothing
390,17,35,6.7260000000002425,,Do_Nothing
384,17,35,6.727000000000243,,Do_Nothing
378,17,35,6.728000000000243,,Do_Nothing
373,17,35,6.729000000000244,,Do_Nothing
367,17,35,6.730000000000244,,Do_Nothing
361,17,35,6.731000000000244,,Do_Nothing
354,17,35,6.7320000000002445,,Do_Nothing
348,17,35,6.733000000000245,,Do_Nothing
341,17,35,6.734000000000245,,Do_Nothing
336,17,35,6.7350000000002455,,Do_Nothing
329,17,35,6.736000000000246,,Do_Nothing
323,17,35,6.737000000000246,,Do_Nothing
317,17,35,6.738000000000247,,Do_Nothing
312,17,35,6.739000000000247,,Do_Nothing
305,17,35,6.740000000000247,,Do_Nothing
299,17,35,6.741000000000248,,Do_Nothing
293,17,35,6.742000000000248,,Do_Nothing
286,17,35,6.743000000000248,,Do_Nothing
280,17,35,6.7440000000002485,,Do_Nothing
275,17,35,6.745000000000249,,Do_Nothing
269,17,35,6.746000000000249,,Do_Nothing
262,17,35,6.7470000000002495,,Do_Nothing
256,17,35,6.74800000000025,,Do_Nothing
249,17,35,6.74900000000025,,Do_Nothing
242,17,35,6.7500000000002505,,Do_Nothing
237,17,35,6.751000000000251,,Do_Nothing
230,17,35,6.752000000000251,,Do_Nothing
223,17,35,6.753000000000252,,Do_Nothing
217,17,35,6.754000000000252,,Do_Nothing
211,17,35,6.755000000000252,,Do_Nothing
204,17,35,6.7560000000002525,,Do_Nothing
199,17,35,6.757000000000253,,Do_Nothing
192,17,35,6.758000000000253,,Do_Nothing
187,17,35,6.7590000000002535,,Do_Nothing
180,17,35,6.760000000000254,,Do_Nothing
174,17,35,6.761000000000254,,Do_Nothing
168,17,35,6.762000000000255,,Do_Nothing
162,17,35,6.763000000000255,,Do_Nothing
156,17,35,6.764000000000255,,Do_Nothing
149,17,35,6.765000000000256,,Do_Nothing
143,17,35,6.766000000000256,,Do_Nothing
138,17,35,6.767000000000256,,Do_Nothing
131,17,35,6.7680000000002565,,Do_Nothing
126,17,35,6.769000000000257,,Do_Nothing
118,17,35,6.770000000000257,,Do_Nothing
112,17,35,6.7710000000002575,,Do_Nothing
105,17,35,6.772000000000258,,Do_Nothing
99,17,35,6.773000000000258,,Do_Nothing
94,17,35,6.7740000000002585,,Do_Nothing
87,17,35,6.775000000000259,,Do_Nothing
80,17,35,6.776000000000259,,Do_Nothing
73,17,35,6.77700000000026,,Do_Nothing
67,17,35,6.77800000000026,,Do_Nothing
60,17,35,6.77900000000026,,Do_Nothing
55,17,35,6.7800000000002605,,Do_Nothing
48,17,35,6.781000000000261,,Do_Nothing
42,17,35,6.782000000000261,,Do_Nothing
35,17,35,6.7830000000002615,,Do_Nothing
29,17,35,6.784000000000262,,Do_Nothing
24,17,35,6.785000000000262,,Do_Nothing
16,17,35,6.786000000000263,,Do_Nothing
11,17,35,6.787000000000263,,Do_Nothing
3,17,35,6.788000000000263,,Do_Nothing
-3,17,35,6.789000000000264,,Jump
-10,17,35,6.790000000000264,,Jump
-17,17,35,6.791000000000264,,Jump
-23,17,35,6.7920000000002645,,Jump
-29,17,35,6.793000000000265,,Jump
-35,17,35,6.794000000000265,,Jump
562,17,35,6.7950000000002655,,Do_Nothing
555,17,35,6.796000000000266,,Do_Nothing
549,17,35,6.797000000000266,,Do_Nothing
543,17,35,6.7980000000002665,,Do_Nothing
536,17,35,6.799000000000267,,Do_Nothing
531,17,35,6.800000000000267,,Do_Nothing
524,17,35,6.801000000000268,,Do_Nothing
518,17,35,6.802000000000268,,Do_Nothing
513,17,35,6.803000000000268,,Do_Nothing
506,17,35,6.8040000000002685,,Do_Nothing
500,17,35,6.805000000000269,,Do_Nothing
494,17,35,6.806000000000269,,Do_Nothing
487,17,35,6.8070000000002695,,Do_Nothing
481,17,35,6.80800000000027,,Do_Nothing
474,17,35,6.80900000000027,,Do_Nothing
468,17,35,6.810000000000271,,Do_Nothing
461,17,35,6.811000000000271,,Do_Nothing
455,17,35,6.812000000000271,,Do_Nothing
449,17,35,6.813000000000272,,Do_Nothing
443,17,35,6.814000000000272,,Do_Nothing
436,17,35,6.815000000000272,,Do_Nothing
430,17,35,6.8160000000002725,,Do_Nothing
423,17,35,6.817000000000273,,Do_Nothing
416,17,35,6.818000000000273,,Do_Nothing
410,17,35,6.8190000000002735,,Do_Nothing
404,17,35,6.820000000000274,,Do_Nothing
398,17,35,6.821000000000274,,Do_Nothing
392,17,35,6.8220000000002745,,Do_Nothing
385,17,35,6.823000000000275,,Do_Nothing
379,17,35,6.824000000000275,,Do_Nothing
372,17,35,6.825000000000276,,Do_Nothing
366,17,35,6.826000000000276,,Do_Nothing
360,17,35,6.827000000000276,,Do_Nothing
353,17,35,6.8280000000002765,,Do_Nothing
346,17,35,6.829000000000277,,Do_Nothing
340,17,35,6.830000000000277,,Do_Nothing
334,17,35,6.8310000000002775,,Do_Nothing
328,17,35,6.832000000000278,,Do_Nothing
322,17,35,6.833000000000278,,Do_Nothing
315,17,35,6.834000000000279,,Do_Nothing
309,17,35,6.835000000000279,,Do_Nothing
302,17,35,6.836000000000279,,Do_Nothing
295,17,35,6.83700000000028,,Do_Nothing
289,17,35,6.83800000000028,,Do_Nothing
282,17,35,6.83900000000028,,Do_Nothing
