,distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action
391,-15,25,50,6.626000000000209,True
392,-20,25,50,6.627000000000209,True
393,-27,25,50,6.62800000000021,True
394,-32,25,50,6.62900000000021,True
395,-38,25,50,6.63000000000021,True
396,-44,25,50,6.631000000000211,True
397,-50,25,50,6.632000000000211,True
398,-56,25,50,6.633000000000211,True
399,-62,25,50,6.634000000000212,True
400,-68,25,50,6.635000000000212,True
401,-73,25,50,6.636000000000212,True
402,-81,25,50,6.637000000000213,True
403,-87,25,50,6.638000000000213,True
404,-93,25,50,6.639000000000213,True
405,554,25,50,6.642000000000214,True
406,548,25,50,6.643000000000215,True
407,542,25,50,6.644000000000215,True
408,536,25,50,6.645000000000215,False
409,530,25,50,6.646000000000216,False
410,524,25,50,6.647000000000216,False
411,518,25,50,6.648000000000216,False
412,511,25,50,6.649000000000217,False
413,506,25,50,6.650000000000217,False
414,499,25,50,6.651000000000217,False
415,493,25,50,6.652000000000218,False
416,487,25,50,6.653000000000218,False
417,481,25,50,6.654000000000218,False
418,475,25,50,6.655000000000219,False
419,469,25,50,6.656000000000219,False
420,463,25,50,6.657000000000219,False
421,456,25,50,6.65800000000022,False
422,450,25,50,6.65900000000022,False
423,444,25,50,6.66000000000022,False
424,438,25,50,6.661000000000221,False
425,432,25,50,6.662000000000221,False
426,426,25,50,6.663000000000221,False
427,420,25,50,6.664000000000222,False
428,414,25,50,6.665000000000222,False
429,408,25,50,6.666000000000222,False
430,401,25,50,6.667000000000223,False
431,395,25,50,6.668000000000223,False
432,389,25,50,6.669000000000223,False
433,384,25,50,6.670000000000224,False
434,377,25,50,6.671000000000224,False
435,371,25,50,6.672000000000224,False
436,365,25,50,6.673000000000225,False
437,359,25,50,6.674000000000225,False
438,352,25,50,6.675000000000225,False
439,345,25,50,6.676000000000226,False
440,339,25,50,6.677000000000226,False
441,333,25,50,6.678000000000226,False
442,327,25,50,6.679000000000227,False
443,321,25,50,6.680000000000227,False
444,316,25,50,6.681000000000227,False
445,309,25,50,6.682000000000228,False
446,303,25,50,6.683000000000228,False
447,298,25,50,6.684000000000228,False
448,290,25,50,6.685000000000229,False
449,284,25,50,6.686000000000229,False
450,278,25,50,6.687000000000229,False
451,272,25,50,6.68800000000023,False
452,266,25,50,6.68900000000023,False
453,259,25,50,6.69000000000023,False
454,254,25,50,6.691000000000231,False
455,246,25,50,6.692000000000231,False
456,240,25,50,6.693000000000231,False
457,234,25,50,6.694000000000232,False
458,228,25,50,6.695000000000232,False
459,222,25,50,6.696000000000232,False
460,216,25,50,6.697000000000233,False
461,209,25,50,6.698000000000233,False
462,203,25,50,6.699000000000233,False
463,196,25,50,6.700000000000234,False
464,191,25,50,6.701000000000234,False
465,184,25,50,6.702000000000234,False
466,178,25,50,6.703000000000235,False
467,171,25,50,6.704000000000235,False
468,165,25,50,6.705000000000235,False
469,158,25,50,6.706000000000236,False
470,153,25,50,6.707000000000236,False
471,146,25,50,6.708000000000236,False
472,141,25,50,6.709000000000237,False
473,134,25,50,6.710000000000237,False
474,128,25,50,6.711000000000237,False
475,122,25,50,6.712000000000238,False
476,116,25,50,6.713000000000238,False
477,110,25,50,6.714000000000238,False
478,104,25,50,6.715000000000239,False
479,98,25,50,6.716000000000239,True
480,92,25,50,6.7170000000002394,True
481,86,25,50,6.71800000000024,True
482,81,25,50,6.71900000000024,True
483,74,25,50,6.7200000000002404,True
484,68,25,50,6.721000000000241,True
485,62,25,50,6.722000000000241,True
486,56,25,50,6.7230000000002414,True
487,50,25,50,6.724000000000242,True
488,44,25,50,6.725000000000242,True
489,39,25,50,6.7260000000002425,True
490,33,25,50,6.727000000000243,True
491,26,25,50,6.728000000000243,True
492,19,25,50,6.7290000000002435,True
493,13,25,50,6.730000000000244,True
494,7,25,50,6.731000000000244,True
495,1,25,50,6.7320000000002445,True
496,-5,25,50,6.733000000000245,True
497,-11,25,50,6.734000000000245,True
498,-17,25,50,6.7350000000002455,True
499,-23,25,50,6.736000000000246,True
500,-29,25,50,6.737000000000246,True
501,-36,25,50,6.7380000000002465,True
502,-42,25,50,6.739000000000247,True
503,504,25,50,6.740000000000247,True
504,498,25,50,6.7410000000002475,True
505,492,25,50,6.742000000000248,True
506,485,25,50,6.743000000000248,True
507,479,25,50,6.7440000000002485,True
508,473,25,50,6.745000000000249,True
509,466,25,50,6.746000000000249,True
510,460,25,50,6.7470000000002495,True
511,454,25,50,6.74800000000025,True
512,448,25,50,6.74900000000025,True
513,442,25,50,6.7500000000002505,False
514,436,25,50,6.751000000000251,False
515,430,25,50,6.752000000000251,False
516,424,25,50,6.7530000000002515,False
517,418,25,50,6.754000000000252,False
518,411,25,50,6.755000000000252,False
519,406,25,50,6.7560000000002525,False
520,399,25,50,6.757000000000253,False
521,392,25,50,6.758000000000253,False
522,386,25,50,6.7590000000002535,False
523,381,25,50,6.760000000000254,False
524,374,25,50,6.761000000000254,False
525,368,25,50,6.7620000000002545,False
526,361,25,50,6.763000000000255,False
527,355,25,50,6.764000000000255,False
528,349,25,50,6.7650000000002555,False
529,343,25,50,6.766000000000256,False
530,336,25,50,6.767000000000256,False
531,330,25,50,6.7680000000002565,False
532,325,25,50,6.769000000000257,False
533,318,25,50,6.770000000000257,False
534,313,25,50,6.7710000000002575,False
535,305,25,50,6.772000000000258,False
536,300,25,50,6.773000000000258,False
537,293,25,50,6.7740000000002585,False
538,287,25,50,6.775000000000259,False
539,280,25,50,6.776000000000259,False
540,274,25,50,6.7770000000002595,False
541,267,25,50,6.77800000000026,False
542,261,25,50,6.77900000000026,False
543,254,25,50,6.7800000000002605,False
544,248,25,50,6.781000000000261,False
545,242,25,50,6.782000000000261,False
546,236,25,50,6.7830000000002615,False
547,230,25,50,6.784000000000262,False
548,223,25,50,6.785000000000262,False
549,217,25,50,6.7860000000002625,False
550,210,25,50,6.787000000000263,False
551,204,25,50,6.788000000000263,False
552,198,25,50,6.7890000000002635,False
553,192,25,50,6.790000000000264,False
554,186,25,50,6.791000000000264,False
555,180,25,50,6.7920000000002645,False
556,173,25,50,6.793000000000265,False
557,166,25,50,6.794000000000265,False
558,160,25,50,6.7950000000002655,False
559,154,25,50,6.796000000000266,False
560,148,25,50,6.797000000000266,False
561,142,25,50,6.7980000000002665,False
562,135,25,50,6.799000000000267,False
563,129,25,50,6.800000000000267,False
564,123,25,50,6.8010000000002675,True
565,117,25,50,6.802000000000268,True
566,111,25,50,6.803000000000268,True
567,105,25,50,6.8040000000002685,True
568,98,25,50,6.805000000000269,True
569,92,25,50,6.806000000000269,True
